,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,0,Donald Trump's Attempt To Shift Russia Focus To Chuck Schumer Is More Than A Little Desperate http://www.huffingtonpost.com/entry/donald-trump-chuck-schumer-russia_us_58b9b656e4b05cf0f40060d4 …,2017-03-03 13:24:31,0,0,837775720453668864,"{'neg': 0.131, 'neu': 0.869, 'pos': 0.0, 'compound': -0.3117}",0.0716363636364,0.0406363636364
1,1,1,1,"DARTH MAUL HAS JUST ENDORSED DONALD #TRUMP!

In a statement to the New York Times made Frida... https://gab.ai/howdidyouwakeup/posts/5766758 …",2017-03-03 10:59:07,0,0,837739129395765248,"{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.4633}",0.0716363636364,0.0406363636364
2,2,2,2,9 sources are reporting that Donald #Trump is literally a time traveling Hitler sent here to... https://gab.ai/howdidyouwakeup/posts/5765946 …,2017-03-03 10:31:30,0,0,837732181057286144,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0716363636364,0.0406363636364
3,3,3,3,"An unnamed source claims Donald #Trump grabbed her by the pussy and called her the ""N-word"".... https://gab.ai/howdidyouwakeup/posts/5765745 …",2017-03-03 10:24:51,0,0,837730507181830144,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0716363636364,0.0406363636364
4,4,4,4,"According to a report compiled by 35 anonymous intelligence officials, Donald #Trump may hav... https://gab.ai/howdidyouwakeup/posts/5765414 …",2017-03-03 10:13:18,0,0,837727597765111812,"{'neg': 0.0, 'neu': 0.807, 'pos': 0.193, 'compound': 0.4767}",0.0716363636364,0.0406363636364
5,5,5,5,"Patrick Stewart is applying for US citizenship to 'fight' Donald Trump
http://flip.it/clGdjr ",2017-03-03 07:12:33,0,0,837682109942640642,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0716363636364,0.0406363636364
6,6,6,6,Is that all?  What's the bigly deal? Sincerely Donald Trump https://twitter.com/MrSpock2017/status/837430518987833344 …,2017-03-03 06:23:28,1,0,837669757704798212,"{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.5362}",0.0716363636364,0.0406363636364
7,7,7,7,"Donald Trump Vows Renewed Expansion of Navy, Calls for Twelve Carrier Fleet - Breitbart http://bit.ly/2lFpJgV ",2017-03-02 22:04:06,0,0,837544088182235136,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0716363636364,0.0406363636364
8,8,8,8,Democrats' Illegal Alien Scolds Donald Trump in Spanish For Denying Amnesty - Breitbart http://bit.ly/2mRbbeo  via @BreitbartNews,2017-03-02 21:09:14,0,0,837530283092029444,"{'neg': 0.316, 'neu': 0.684, 'pos': 0.0, 'compound': -0.7184}",0.0716363636364,0.0406363636364
9,9,9,9,"Donald Trump Vows Renewed Expansion of Navy, Calls for Twelve Carrier Fleet - Breitbart http://bit.ly/2lFpJgV  via @BreitbartNews",2017-03-02 19:09:20,0,0,837500110191747072,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0716363636364,0.0406363636364
10,10,10,10,"Sen. Jeff Sessions endorses Donald Trump at Madison, Ala. rally... https://goo.gl/fb/Ai7Otd  #jeffsessions",2017-03-02 16:53:40,0,0,837465967366127617,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.34}",0.0716363636364,0.0406363636364
