,Unnamed: 0,Unnamed: 0.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,03-05 Donald Trump: #Obama tears ‘sincere’ #Obama...https://goo.gl/fb/QS91ux ,2017-03-05 11:24:43,0,0,838470345887711232,"{'neg': 0.198, 'neu': 0.521, 'pos': 0.281, 'compound': 0.2023}",0.0407333333333,0.175466666667
1,1,1,Donald Trump returns to Illinois after canceling rally Friday night in Chicago #Obama https://goo.gl/fb/HOHSCZ  #obama,2017-03-05 10:07:38,0,0,838450950310350848,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0407333333333,0.175466666667
2,2,2,@realDonaldTrump The same intel. moles concocting FAKE news about Donald Trump are the same ones who screwed pooch about Tsarnaev brothers.,2017-03-05 10:02:41,0,0,838449702550937600,"{'neg': 0.27, 'neu': 0.73, 'pos': 0.0, 'compound': -0.7925}",0.0407333333333,0.175466666667
3,3,3,Donald Trump asks Congress to probe phone tap allegations; ‘Crisis’ in education sector; Australian dies after… https://sharingzones.wordpress.com/2017/03/05/donald-trump-asks-congress-to-probe-phone-tap-allegations-crisis-in-education-sector-australian-dies-after-everest-trek …,2017-03-05 09:52:26,0,0,838447124417146881,"{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.6249}",0.0407333333333,0.175466666667
4,4,4,I've just posted a new blog: Donald Trump asks Congress to probe phone tap allegations; 'Crisis' in education sect… http://bit.ly/2mbwXfj ,2017-03-05 09:44:13,0,0,838445055694278660,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0407333333333,0.175466666667
5,5,5,"Donald Trump uses coal miners as props, but 23,000 real coal miners are losing health benefits http://www.dailykos.com/story/2017/3/3/1639795/-Donald-Trump-uses-coal-miners-as-props-but-23-000-real-coal-miners-are-losing-health-benefits …",2017-03-05 09:28:56,0,0,838441209127284737,"{'neg': 0.156, 'neu': 0.688, 'pos': 0.156, 'compound': 0.0}",0.0407333333333,0.175466666667
6,6,6,@MacStipanovich @markskon On concocted grounds. Those pushing FAKE news about Donald Trump screwed the pooch about Tsarnaev brothers.,2017-03-05 08:56:45,0,0,838433109913657344,"{'neg': 0.305, 'neu': 0.695, 'pos': 0.0, 'compound': -0.7925}",0.0407333333333,0.175466666667
7,7,7,I bet he's singing like a bird.Where's @SenJohnMcCain #WheresTheBill #obamagate #sessions #Russians what the hell is going on in Washington?https://twitter.com/Joe_America1776/status/838416136983183360 …,2017-03-05 07:58:48,1,0,838418525882474496,"{'neg': 0.199, 'neu': 0.693, 'pos': 0.108, 'compound': -0.4767}",0.0407333333333,0.175466666667
8,8,8,"@Pell48 @SpeakerRyan yep,he's a mole,working for the establishment.He thinks he can string @POTUS along w/ ""How it works in Washington"" bit.",2017-03-05 07:43:38,1,0,838414711444008961,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0407333333333,0.175466666667
9,9,9,Hell ya he knew! Always had that feeling about @SpeakerRyan can't trust him! He's a Squirrel! #ObamaGatehttps://twitter.com/Pell48/status/838404860093562881 …,2017-03-05 07:37:46,1,0,838413232406585349,"{'neg': 0.361, 'neu': 0.573, 'pos': 0.066, 'compound': -0.8261}",0.0407333333333,0.175466666667
10,10,10,@POTUS @realDonaldTrump don't foget about that Clown #Clapper he knows more!He's already lied to Congress what else does he know? #obamagate,2017-03-05 07:34:06,1,0,838412309231878144,"{'neg': 0.126, 'neu': 0.874, 'pos': 0.0, 'compound': -0.4389}",0.0407333333333,0.175466666667
11,11,11,Donald Trump accuses Barack Obama of wire tapping his phones http://dailym.ai/2lK1ttZ  via @MailOnline,2017-03-05 06:42:32,0,0,838399334949371905,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.34}",0.0407333333333,0.175466666667
12,12,12,Ivana Trump Claiming Donald Trump Addicted To Penile Enhancement Pills Is Fake News http://www.business2community.com/us-news/ivana-trump-claiming-donald-trump-addiction-penile-enhancement-pills-fake-news-01792294 …pic.twitter.com/RrNihHOkb6,2017-03-05 03:19:23,0,0,838348211018481666,"{'neg': 0.193, 'neu': 0.807, 'pos': 0.0, 'compound': -0.4767}",0.0407333333333,0.175466666667
13,13,13,Russian foreign minister uses exactly the same words as Donald Trump to describe US-Kremlin allegations https://www.yahoo.com/news/russian-foreign-minister-uses-exactly-143521627.html …,2017-03-04 20:25:19,0,0,838244004957335553,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0407333333333,0.175466666667
14,14,14,"A desperate Hillary Clinton, trying to destroy Donald Trump pic.twitter.com/azbIA1oHTH",2017-03-04 17:47:15,0,0,838204225943281664,"{'neg': 0.453, 'neu': 0.547, 'pos': 0.0, 'compound': -0.7003}",0.0407333333333,0.175466666667
